"Local Authority";"Mayor"
"Wandsworth";"Dalton Warner"
"Hillingdon";"Princeton Baird"
"Lewisham";"Madeleine Booker"
"Havering";"Jane Burks"
"Barking and Dagenham";"Dimitri Holder"
"Merton";"Nixon Pruitt"
"Tower Hamlets";"Hector Greene"
"Harrow";"Frank Tillman"
"Hammersmith and Fulham";"Juniper Stephens"
"Southwark";"Esteban Mcclure"
"Hackney";"Yahir Best"
"City of London";"Jack Stafford"
"Westminster";"Cristopher Page"
"Camden";"Elisa Gay"
"Waltham Forest";"Ezekiel Sherman"
"Waltham Forest";"Shane Ford"
"Havering";"Misael Parks"
"Hillingdon";"Adelina Mercado"
"Kensington and Chelsea";"Alijah Schroeder"
"Richmond upon Thames";"Kassidy Ross"
"Enfield";"Kali Meyers"
"Camden";"Nathaniel Snider"
"Barking and Dagenham";"Cash Hammond"
"Hillingdon";"Emelia Morton"
"Waltham Forest";"Milan Hale"
"Barking and Dagenham";"Van Sweet"
"Barnet";"Skye Hicks"
"Kingston upon Thames";"Aaden Kline"
"Kingston upon Thames";"Charlee Roth"
"Waltham Forest";"Kourtney Meyers"
"Barnet";"Benjamin Barrera"
"Hammersmith and Fulham";"Camryn Sweeney"
"Enfield";"Hugh Oneal"
"Kingston upon Thames";"Benson Raymond"
"Richmond upon Thames";"Casey Vega"
"Lambeth";"Lucille Webster"
"Richmond upon Thames";"Paulina Humphrey"
"Croydon";"Kasen Jennings"
"Southwark";"Alyson Boyle"
"Ealing";"Alianna Ware"
"Kensington and Chelsea";"Karter Morgan"
"Haringey";"Saige Noble"
"Redbridge";"Sean Woodward"
"Westminster";"Isabel Mckay"
"Richmond upon Thames";"Jamar Bernard"
"Croydon";"Maxton Anderson"
"Havering";"Lilyanna Hall"
"Waltham Forest";"Issac Holder"
"Hackney";"Morgan Tate"
"Islington";"Lance Walter"
"Westminster";"Anders Horton"
"Sutton";"Braylin Washington"
"Barking and Dagenham";"River Meyers"
"Sutton";"Wesley Anthony"
"Merton";"William Garrett"
"Enfield";"Freddy Spence"
"Hackney";"Reagan Guerrero"
"Hounslow";"Camilo Jackson"
"Lewisham";"Regan Hood"
"Bexley";"Jayde Hines"
"Haringey";"Will Winters"
"Southwark";"Adyson Grimes"
"Greenwich";"Nora Klein"
"Ealing";"Jacob Mckinney"
"Tower Hamlets";"Johann Holland"
"Brent";"Donovan Bowman"
"Haringey";"Zaiden Wiley"
"Sutton";"Johanna Read"
"Lambeth";"Evangeline Calderon"
"Wandsworth";"Turner Nieves"
"Harrow";"Alyvia Gross"
"Kingston upon Thames";"Bobby Bowers"
"Enfield";"Julien Bender"
"Brent";"Jaime Wolf"
"Barking and Dagenham";"Holden Britt"
"Barnet";"Carissa Callahan"
"Enfield";"Ayana Johnson"
"Lewisham";"Tianna Johnston"
"Bromley";"Lawson Le"
"Islington";"Madeline Nixon"
"Kingston upon Thames";"Eduardo Carson"
"Harrow";"Elaina Keith"
"City of London";"Evelynn Norris"
"Tower Hamlets";"Alayna Macdonald"
"Kingston upon Thames";"Macie Gregory"
"Redbridge";"Corbin Buck"
"Redbridge";"Camden Kent"
"Ealing";"Lewis Huff"
"Hackney";"Carlee Landry"
"Kensington and Chelsea";"Tyrell Lindsay"
"Croydon";"Lacey Howe"
"Brent";"Hassan Gordon"
"Kensington and Chelsea";"Deshawn Mcbride"
"Tower Hamlets";"Cadence Reeves"
"Croydon";"Alberto Campbell"
"Hackney";"Kylie Osborn"
"Barking and Dagenham";"Pierre Rhodes"
"Camden";"Marley Downs"
"Wandsworth";"Myles Green"
"City of London";"Kallie Duffy"
"Ealing";"Mayson Snow"
"Havering";"Juliana Ashley"
"Croydon";"Carolyn Combs"
"Kensington and Chelsea";"Reyna Brooks"
"Newham";"Danielle Weaver"
"Barnet";"Shawn Jordan"
"Hammersmith and Fulham";"Hailee Hansen"
"Waltham Forest";"Salma Olsen"
"Kensington and Chelsea";"Adrienne Green"
"Havering";"Alina Bowers"
"Camden";"Aidan Lynch"
"Hammersmith and Fulham";"Alfred Holland"
"Ealing";"Isiah Mccoy"
"City of London";"Kyndal Stevens"
"Greenwich";"Tyler Stein"
"Wandsworth";"Jasper Casey"
"Lambeth";"Kamari Lambert"
"Camden";"Janelle Conley"
"Redbridge";"Fletcher Chapman"
"Islington";"Amaya Gillespie"
"Lewisham";"Keaton Meadows"
"Waltham Forest";"Madyson Nicholson"
"Newham";"Deandre Franklin"
"Lambeth";"Scarlett Townsend"
"Sutton";"Deven Orr"
"Camden";"Karsyn Whitaker"
"Camden";"Campbell Mcgowan"
"Enfield";"Larissa Stout"
"Kensington and Chelsea";"Fatima Benton"
"Sutton";"Rowan Lane"
"Kensington and Chelsea";"Darwin Frost"
"Lewisham";"Jorge Hodges"
"Redbridge";"Tara Irwin"
"Lewisham";"Damian Holman"
